https://en.wikipedia.org/wiki/Battle_of_Baesweiler,1371,1371,"['Duchy of Jülich', 'Duchy of Guelders']","['Duchy of Brabant', 'County of Namur', 'County of Ligny']",Battle of Baesweiler,"['Baesweiler', 'Aachen (district)']",unknown,unknown,1601,2502,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1371,1371,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_La_Rochelle,1372,1372,['England'],['Castile'],Battle of La Rochelle,['La Rochelle'],9821,unknown,77,70,False,1
https://en.wikipedia.org/wiki/Battle_of_Chiset,1373,1373,['Kingdom of England'],['Kingdom of France'],Battle of Chiset,['Chizé'],-1,-1,700,1500,False,1
https://en.wikipedia.org/wiki/Cesena_Bloodbath,1377,1377,['Papal States'],"['Republic of Florence', 'Milan', 'Republic of Siena']",War of the Eight Saints,['Italian peninsula'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1377,1377,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1377,1377,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Vozha_River,1378,1378,['Grand Duchy of Moscow'],['Golden Horde'],Battle of the Vozha River,"['Vozha River', 'Ryazan Oblast']",-1,-1,unknown,10005,False,1
https://en.wikipedia.org/wiki/Battle_of_Kulikovo,1380,1380,"['Rus', 'Grand Duchy of Moscow and Vladimir', 'Principality of Beloozero', 'Principality of Yaroslavl', 'Principality of Rostov', 'Principality of Starodub', 'Principality of Mologa', 'Principality of Kashin', 'Vyazma', 'Dorogobuzh', 'Upper Oka Principalities', 'Polotsk', 'Bryansk']","['Golden Horde', 'mercenaries']",Battle of Kulikovo,"['Kulikovo Field', 'Don River']",-1,-1,140007,280014,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Kalka_River_(1381),1381,1381,non-state,non-state,Battle of the Kalka River (1381),['Kalka River'],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1381,1381,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Roosebeke,1382,1382,"['Kingdom of France', 'Duchy of Burgundy', 'County of Flanders']",['Ghent'],Battle of Roosebeke,"['Flanders', 'Westrozebeke']",103,27503,19701,70002,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1382,1382,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Atoleiros,1384,1384,['Kingdom of Portugal'],['Crown of Castile'],Battle of Atoleiros,"['Alentejo', 'Portugal']",19,11,2820,10015,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1384,1384,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1384,1384,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1384,1384,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Tochar_Cruachain-Bri-Ele,1385,1385,['Uí Failghe'],['Lordship of Ireland'],Battle of Tochar Cruachain-Bri-Ele,"['Croghan', 'County Offaly', 'Ireland']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1385,1385,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1385,1385,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1385,1385,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Sapienza,1385,1385,none,none,Battle of Sapienza,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Vikhra_River,1386,1386,['Grand Duchy of Lithuania'],['Principality of Smolensk'],Battle of the Vikhra River,"['Vikhra River', 'Mstislavl']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1386,1386,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1386,1386,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1386,1386,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Castagnaro,1387,1387,['Verona'],"['Padua', 'White Company']",Battle of Castagnaro,"['Castagnaro', 'Verona', 'Veneto', 'Italy']",7000,unknown,55001,9200,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1387,1387,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1387,1387,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mauron,1387,1387,none,none,Battle of Mauron,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Buir_Lake,1388,1388,['Ming dynasty'],['Northern Yuan dynasty'],Battle of Buir Lake,"['Buir Lake', 'Chinese', 'Mongolian']",-1,-1,150000,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1388,1388,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ardres,1388,1388,['Kingdom of England'],['Kingdom of France'],Battle of Ardres,['Ardres'],600,unknown,600,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Kosovo_Polje,1389,1389,['Ottoman Sultanate'],"['Moravian Serbia', 'District of Branković', 'Kingdom of Bosnia', 'Knights of Rhodes']",Battle of Kosovo,"['Kosovo field', 'District of Branković']",11,11,67000,42000,False,1
https://en.wikipedia.org/wiki/Battle_of_Alessandria,1391,1391,non-state,non-state,Battle of Alessandria,[],unknown,unknown,6000,1500,False,1
https://en.wikipedia.org/wiki/Battle_of_Saintes,1391,1391,['Kingdom of England'],['Kingdom of France'],Battle of Saintes,['Saintes'],-1,-1,-1,-1,False,1
